rho, F, G
4.29, 5.247219445750851, 1.1889042301528767
4.30, 5.255324373044324, 1.1880108582131326
4.31, 5.263436933522323, 1.1871196425411212
4.32, 5.271557080409903, 1.1862305738633567
4.33, 5.279684767318725, 1.185343642965575
4.34, 5.287819948243019, 1.184458840692222
4.35, 5.29596257755561, 1.1835761579459532
4.36, 5.304112610003983, 1.1826955856871317
4.37, 5.312270000706402, 1.1818171149333352
4.38, 5.320434705148079, 1.1809407367588696
4.39, 5.3286066791773905, 1.1800664422942837
4.4, 5.3367858790021305, 1.1791942227258951
4.41, 5.344972261185834, 1.178324069295314
4.42, 5.353165782644121, 1.1774559732989778
4.43, 5.361366400641096, 1.1765899260876889
4.44, 5.369574072785801, 1.1757259190661558
4.45, 5.377788757028695, 1.1748639436925428
4.46, 5.386010411658187, 1.174003991478019
4.47, 5.3942389952972185, 1.1731460539863194
4.48, 5.402474466899863, 1.1722901228333023
4.49, 5.410716785748002, 1.17143618968652
4.5, 5.418965911448006, 1.1705842462647857
4.51, 5.4272218039274875, 1.1697342843377498
4.52, 5.435484423432067, 1.1688862957254824
4.53, 5.443753730522202, 1.1680402722980545
4.54, 5.452029686070027, 1.1671962059751282
4.55, 5.460312251256265, 1.1663540887255488
4.56, 5.468601387567141, 1.1655139125669418
4.57, 5.476897056791365, 1.1646756695653153
4.58, 5.485199221017125, 1.163839351834664
4.59, 5.493507842629134, 1.1630049515365792
4.6, 5.5018228843056995, 1.1621724608798623
4.61, 5.510144309015842, 1.1613418721201436
4.62, 5.51847208001643, 1.1605131775595
4.63, 5.526806160849364, 1.1596863695460855
4.64, 5.53514651533879, 1.158861440473755
4.65, 5.54349310758834, 1.1580383827817005
4.66, 5.551845901978412, 1.1572171889540888
4.67, 5.560204863163479, 1.1563978515196955
4.68, 5.568569956069431, 1.155580363051558
4.69, 5.5769411458909435, 1.1547647161666144
4.7, 5.585318398088886, 1.153950903525361
4.71, 5.593701678387752, 1.153138917831503
4.72, 5.602090952773121, 1.152328751831614
4.73, 5.610486187489156, 1.1515203983147981
4.74, 5.618887349036118, 1.1507138501123535
4.75, 5.627294404167926, 1.1499091000974409
4.76, 5.635707319889726, 1.1491061411847547
4.77, 5.644126063455505, 1.1483049663302012
4.78, 5.6525506023657215, 1.1475055685305702
4.79, 5.66098090436497, 1.146707940823221
4.80, 5.669416937439664, 1.1459120762857664
4.81, 5.677858669815756, 1.145117968035758
4.82, 5.686306069956478, 1.144325609230378
4.83, 5.694759106560102, 1.1435349930661332
4.84, 5.703217748557743, 1.1427461127785488
4.85, 5.711681965111163, 1.1419589616418728
4.86, 5.720151725610623, 1.1411735329687727
4.87, 5.728626999672745, 1.140389820110046
4.88, 5.737107757138398, 1.1396078164543242
4.89, 5.745593968070624, 1.1388275154277863
4.9, 5.754085602752563, 1.1380489104938718
4.91, 5.762582631685419, 1.1372719951529977
4.92, 5.771085025586446, 1.1364967629422758
4.93, 5.779592755386945, 1.1357232074352372
4.94, 5.788105792230304, 1.1349513222415564
4.95, 5.796624107470039, 1.1341811010067764
4.96, 5.805147672667867, 1.1334125374120423
4.97, 5.8136764595918065, 1.132645625173829
4.98, 5.822210440214279, 1.1318803580436818
4.99, 5.830749586710258, 1.1311167298079476
5., 5.839293871455412, 1.1303547342875202
